price,href,title
 R$ 23.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/march-1-6-2012-completo-703507677,"
									Punto atractive 1.4 completo pra vender rápido!! - 2013
								"
 R$ 20.900,https://(null).olx.com.br/(null)/(null)/palio-4p-fire-1-0-8v-flex-682832200,"
									March 1.6 2012 completo - 2012
								"
 R$ 25.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/c3-exclusive-1-4-2012-703502750,"
									Palio 4p Fire 1.0 8V (Flex)
								"
 R$ 19.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hilux-sw4-2010-2010-2-7-sr-4x2-16v-gasolina-4p-automatico-703499728,"
									C3 exclusive 1.4 2012 - 2012
								"
 R$ 67.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2018-2018-1-0-firefly-flex-drive-manual-653929014,"
									HILUX SW4 2010/2010 2.7 SR 4X2 16V GASOLINA 4P AUTOMÁTICO - 2010
								"
 R$ 42.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/a4-2017-2018-2-0-tfsi-attraction-gasolina-4p-s-tronic-695847251,"
									FIAT ARGO 2018/2018 1.0 FIREFLY FLEX DRIVE MANUAL - 2018
								"
 R$ 104.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-2018-2019-1-6-16v-sce-flex-dynamique-manual-683849385,"
									A4 2017/2018 2.0 TFSI ATTRACTION GASOLINA 4P S TRONIC - 2018
								"
 R$ 59.470,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-2016-2016-2-0-xei-16v-flex-4p-automatico-693310340,"
									RENAULT DUSTER 2018/2019 1.6 16V SCE FLEX DYNAMIQUE MANUAL - 2019
								"
 R$ 71.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cobalt-2016-2017-1-8-mpfi-elite-8v-flex-4p-automatico-674262839,"
									TOYOTA COROLLA 2016/2016 2.0 XEI 16V FLEX 4P AUTOMÁTICO - 2016
								"
 R$ 52.990,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gm-prisma-maxx-1-4-versao-completa-698346167,"
									CHEVROLET COBALT 2016/2017 1.8 MPFI ELITE 8V FLEX 4P AUTOMÁTICO - 2017
								"
 R$ 23.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kia-sportage-2008-2009-2-0-ex-4x2-16v-gasolina-4p-automatico-692327994,"
									Gm Prisma Maxx 1.4 Versão Completa - 2011
								"
 R$ 30.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-c-c-plus-c-style-1-6-16v-698807480,"
									KIA SPORTAGE 2008/2009 2.0 EX 4X2 16V GASOLINA 4P AUTOMÁTICO - 2009
								"
 R$ 36.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/pecas-pegeout-para-retirada-703475150,"
									HB20 C./C.Plus/C.Style 1.6 16V - 2014
								"
 R$ 21.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/207-sedan-passion-xr-1-4-8v-682165460,"
									Peças Pegeout para retirada - 2006
								"
 R$ 41.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-697387805,"
									207 Sedan Passion XR 1.4 8V - 2010
								"
 R$ 16.300,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-fire-celebration-1-0-completo-2007-2008-696779411,"
									Gol 1.6  - 2019
								"
 R$ 9.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-bola-703460000,"
									Fiat Palio Fire Celebration 1.0 Completo 2007/2008 - 2008
								"
 R$ 45.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-1-0-drive-r-45-000-00-703458245,"
									Gol bola - 2004
								"
 R$ 39.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/prisma-2018-2018-1-0-mpfi-joy-8v-flex-4p-manual-654510558,"
									Fiat Argo 1.0 Drive R$45.000,00 - 2020
								"
 R$ 89.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toro-freedom-1-8-16v-698911118,"
									PRISMA 2018/2018 1.0 MPFI JOY 8V FLEX 4P MANUAL - 2018
								"
 R$ 39.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-2018-2019-1-0-mpfi-lt-8v-flex-4p-manual-673742849,"
									Toro Freedom 1.8 16V - 2020
								"
 R$ 19.790,https://(null).olx.com.br/(null)/(null)/gol-1-0-g4-flex-4p-gnv-655122301,"
									ONIX 2018/2019 1.0 MPFI LT 8V FLEX 4P MANUAL - 2019
								"
 R$ 42.890,https://(null).olx.com.br/(null)/(null)/saveiro-trendline-1-6-msi-cs-flex-677406648,"
									Gol 1.0 (G4) (Flex) 4p GNV
								"
 R$ 74.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2018-2019-1-8-16v-evo-flex-endurance-at6-662810720,"
									Saveiro Trendline 1.6 MSI CS (Flex)
								"
 R$ 59.999,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fusion-a-vista-59-999-703436718,"
									FIAT TORO 2018/2019 1.8 16V EVO FLEX ENDURANCE AT6 - 2019
								"
 R$ 26.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/brasilia-672926839,"
									Fusion a vista 59.999 - 2013
								"
 R$ 32.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/500-2011-2012-1-4-cult-8v-flex-2p-automatizado-698417537,"
									Brasilia  
								"
 R$ 39.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-2018-2018-1-6-msi-robust-cs-8v-flex-2p-manual-703394611,"
									500 2011/2012 1.4 CULT 8V FLEX 2P AUTOMATIZADO - 2012
								"
 R$ 4.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-fiat-brava-703391495,"
									Vendo fiat brava - 2003
								"
 R$ 80.340,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-2018-2019-2-0-direct-flex-titanium-automatico-673756703,"
									FORD ECOSPORT 2018/2019 2.0 DIRECT FLEX TITANIUM AUTOMÁTICO - 2019
								"
 R$ 45.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cruze-2012-2012-1-8-ltz-16v-flex-4p-automatico-677419547,"
									CHEVROLET CRUZE 2012/2012 1.8 LTZ 16V FLEX 4P AUTOMÁTICO - 2012
								"
 R$ 68.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sportage-ex-2-0-16v-698808030,"
									Sportage EX 2.0 16V - 2013
								"
 R$ 33.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/focus-2011-2012-2-0-glx-sedan-16v-flex-4p-automatico-703387681,"
									FOCUS 2011/2012 2.0 GLX SEDAN 16V FLEX 4P AUTOMÁTICO - 2012
								"
 R$ 48.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/blazer-2005-2005-2-8-4x4-8v-turbo-intercooler-diesel-4p-manual-703383614,"
									BLAZER 2005/2005 2.8 4X4 8V TURBO INTERCOOLER DIESEL 4P MANUAL - 2005
								"
 R$ 24.900,https://(null).olx.com.br/brasil/(null)/palio-fire-1-0-8v-flex-4p-615719574,"
									Palio Fire 1.0 8V (Flex) 4p
								"
 R$ 44.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-sedan-1-8-dual-vvt-i-gli-aut-flex-1-8-657788336,"
									Corolla Sedan 1.8 Dual VVT-i GLI (aut) (flex) 1.8  - 2012
								"
 R$ 55.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-2018-2019-1-6-16v-sce-flex-dynamique-manual-662821691,"
									RENAULT DUSTER 2018/2019 1.6 16V SCE FLEX DYNAMIQUE MANUAL - 2019
								"
 R$ 55.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2013-2014-2-0-lxr-16v-flex-4p-automatico-691399929,"
									HONDA CIVIC 2013/2014 2.0 LXR 16V FLEX 4P AUTOMÁTICO - 2014
								"
 R$ 41.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2018-2018-1-0-firefly-flex-drive-manual-655324779,"
									FIAT ARGO 2018/2018 1.0 FIREFLY FLEX DRIVE MANUAL - 2018
								"
 R$ 36.500,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-2018-2019-1-0-mpfi-joy-8v-flex-4p-manual-683836840,"
									ONIX 2018/2019 1.0 MPFI JOY 8V FLEX 4P MANUAL - 2019
								"
 R$ 54.620,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-2018-2019-1-5-x-plus-sedan-16v-flex-4p-automatico-674531469,"
									TOYOTA ETIOS 2018/2019 1.5 X PLUS SEDAN 16V FLEX 4P AUTOMÁTICO - 2019
								"
 R$ 54.190,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/quadriciclo-uforce-550eps-guincho-4x4-dir-eletrica-cacamba-basculant-ano-2019-559421251,"
									Quadriciclo Uforce 550EPS - Guincho - 4x4 - Dir Elétrica - Caçamba Basculant - Ano 2019 - 2019
								"
 R$ 35.490,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-lindo-fox-highline-baixo-km-703343739,"
									Vendo lindo Fox Highline baixo km - 2014
								"
 R$ 17.700,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiesta-2011-703343033,"
									Fiesta 2011 - 2011
								"
 R$ 16.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/triciclo-2007-documentado-633105062,"
									Triciclo 2007 Documentado - 2007
								"
